Sourcing Cost,NTM1,NTM2,NTM3,X1,X2,X3,DIRECT,ECOM,RETAIL,WHOLESALE,ExtraLarge,Large,Small,Liquid,Powder
10.16,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True
134.28,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
12.46,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True
107.22,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True
197.76,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
137.93,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
105.59,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
90.78,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True
154.04,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False
85.71,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True
141.58,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True
173.44,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
80.64,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True
159.11,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
172.51,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
173.91,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
143.92,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
150.02,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
149.57,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False
56.52,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True
144.21,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True
144.28,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True
138.52,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
142.13,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True
136.09,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False
141.58,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True
43.1,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True
145.79,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True
160.67,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
109.49,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
151.67,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False
138.06,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
135.29,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
56.52,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True
150.01,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
171.3,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
214.0,False,False,True,True,False,False,True,False,False,False,False,False,True,True,False
42.8,False,False,True,True,False,False,True,False,False,False,False,False,True,True,False
145.23,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
173.78,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
137.52,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
148.07,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
151.03,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
135.79,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
29.26,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
148.4,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
157.22,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
155.84,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
149.36,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False
41.04,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True
156.79,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
153.76,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
151.53,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
26.2,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True
174.83,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True
141.47,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True
138.4,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True
146.3,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False
168.22,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False
138.7,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
138.17,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
149.49,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
0.0,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
6.77,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True
140.45,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True
135.87,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
56.52,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True
180.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True
168.72,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False
144.4,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
135.87,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
171.28,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
145.2,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
105.58,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True
143.85,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
26.14,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True
149.26,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False
196.62,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
141.58,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False
157.49,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False
42.1,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True
127.68,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True
147.23,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
94.7,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True
164.08,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
95.0,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True
26.51,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True
139.95,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
0.0,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True
143.64,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
155.36,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False
68.0,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True
158.59,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False
64.32,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True
106.88,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True
26.13,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True
133.45,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
142.61,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
140.98,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
142.37,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
136.92,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
0.0,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
142.75,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True
132.19,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True
89.24,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True
143.82,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
143.84,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
42.45,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True
146.61,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False
17.9,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True
210.71,False,False,True,True,False,False,True,False,False,False,False,False,True,True,False
195.79,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
134.28,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
139.45,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True
136.09,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
0.0,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
174.38,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
56.52,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True
139.95,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
93.97,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True
107.6,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True
42.8,False,False,True,True,False,False,True,False,False,False,False,False,True,True,False
173.16,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True
179.0,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
146.61,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
157.48,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
